method,mean_score,mean_rank,n_wins,n_last,pooled_score,pooled_low_ci,pooled_high_ci,pooled_rank
spotex,0.355487,2.000000,6,1,0.316948,0.284256,0.353862,1
goatex,0.184676,2.777778,2,1,0.172888,0.158722,0.188548,2
mvadapter,0.131046,3.444444,1,1,0.142528,0.128891,0.156174,3
TEXGen,0.124859,3.666667,0,0,0.141204,0.129178,0.153230,4
syncmvd,0.129104,3.777778,0,1,0.136835,0.123986,0.150193,5
paint3d,0.074828,5.333333,0,5,0.089597,0.079217,0.099930,6
