sample,kind,m_rank1,m_rank2,m_rank3,m_rank4,m_rank5,m_rank6,workerId,hitId,assignmentId,trialIdx
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_2,_corrupt_0,_corrupt_4,_corrupt_1,_corrupt_3,A352NZSNQPL73A,H_0001,3OS46CRSLXVZHJ683M2H1MUP6706VD,3
45_1a6d42ef69294498937aab039ececb00,main,spotex,paint3d,goatex,TEXGen,mvadapter,syncmvd,A352NZSNQPL73A,H_0001,3OS46CRSLXVZHJ683M2H1MUP6706VD,4
02_16ee83e509e745998f229da44a8387e8,main,spotex,mvadapter,goatex,syncmvd,paint3d,TEXGen,A352NZSNQPL73A,H_0001,3OS46CRSLXVZHJ683M2H1MUP6706VD,5
58_1d7b005b0cf241d9890739a549769c86,main,goatex,syncmvd,TEXGen,mvadapter,paint3d,spotex,A352NZSNQPL73A,H_0001,3OS46CRSLXVZHJ683M2H1MUP6706VD,6
27_0aa910f8ec974330a9a89a5c7cf4e3dd,vigilance,spotex,_corrupt_1,_corrupt_4,_corrupt_2,_corrupt_3,_corrupt_0,A352NZSNQPL73A,H_0001,3OS46CRSLXVZHJ683M2H1MUP6706VD,7
02_16ee83e509e745998f229da44a8387e8,main,TEXGen,goatex,spotex,paint3d,mvadapter,syncmvd,A352NZSNQPL73A,H_0001,3OS46CRSLXVZHJ683M2H1MUP6706VD,8
45_1a6d42ef69294498937aab039ececb00,main,spotex,mvadapter,paint3d,goatex,TEXGen,syncmvd,A352NZSNQPL73A,H_0001,3OS46CRSLXVZHJ683M2H1MUP6706VD,9
58_1d7b005b0cf241d9890739a549769c86,vigilance,spotex,_corrupt_1,_corrupt_2,_corrupt_3,_corrupt_0,_corrupt_4,A352NZSNQPL73A,H_0001,3OS46CRSLXVZHJ683M2H1MUP6706VD,10
02_16ee83e509e745998f229da44a8387e8,main,spotex,syncmvd,mvadapter,TEXGen,paint3d,goatex,A352NZSNQPL73A,H_0001,3OS46CRSLXVZHJ683M2H1MUP6706VD,11
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,spotex,mvadapter,TEXGen,paint3d,syncmvd,goatex,A352NZSNQPL73A,H_0001,3OS46CRSLXVZHJ683M2H1MUP6706VD,12
58_1d7b005b0cf241d9890739a549769c86,main,goatex,TEXGen,paint3d,spotex,syncmvd,mvadapter,A352NZSNQPL73A,H_0001,3OS46CRSLXVZHJ683M2H1MUP6706VD,13
54_120ac5f53bda4d1d9306a050a3b6e46b,main,mvadapter,paint3d,spotex,goatex,TEXGen,syncmvd,A352NZSNQPL73A,H_0001,3OS46CRSLXVZHJ683M2H1MUP6706VD,14
48_d53b232eab0048b48835c2caef28f44e,main,goatex,TEXGen,syncmvd,spotex,mvadapter,paint3d,A352NZSNQPL73A,H_0001,3OS46CRSLXVZHJ683M2H1MUP6706VD,15
01_d85c3093011d4e03a0df7a4049b13816,main,spotex,goatex,syncmvd,paint3d,mvadapter,TEXGen,A352NZSNQPL73A,H_0001,3OS46CRSLXVZHJ683M2H1MUP6706VD,16
06_ce195c7adddb44d2bf963c526756362a,main,spotex,TEXGen,mvadapter,syncmvd,goatex,paint3d,A352NZSNQPL73A,H_0001,3OS46CRSLXVZHJ683M2H1MUP6706VD,17
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,spotex,mvadapter,TEXGen,paint3d,goatex,syncmvd,A352NZSNQPL73A,H_0001,3OS46CRSLXVZHJ683M2H1MUP6706VD,18
02_16ee83e509e745998f229da44a8387e8,main,syncmvd,goatex,spotex,TEXGen,mvadapter,paint3d,A352NZSNQPL73A,H_0001,3OS46CRSLXVZHJ683M2H1MUP6706VD,19
