method,mean_score,mean_rank,n_wins,n_last,pooled_score,pooled_low_ci,pooled_high_ci,pooled_rank
spotex,0.357850,1.111111,8,0,0.361007,0.312600,0.415922,1
goatex,0.156977,3.111111,1,1,0.151491,0.129851,0.172734,2
syncmvd,0.132761,3.555556,0,0,0.138301,0.120032,0.158030,3
mvadapter,0.139807,3.777778,0,1,0.135999,0.116345,0.156235,4
TEXGen,0.114744,4.666667,0,3,0.119646,0.104178,0.134501,5
paint3d,0.097861,4.777778,0,4,0.093556,0.079374,0.107993,6
