sample,kind,m_rank1,m_rank2,m_rank3,m_rank4,m_rank5,m_rank6,workerId,hitId,assignmentId,trialIdx
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_3,_corrupt_2,_corrupt_0,_corrupt_4,_corrupt_1,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,3
45_1a6d42ef69294498937aab039ececb00,main,spotex,paint3d,goatex,syncmvd,TEXGen,mvadapter,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,4
02_16ee83e509e745998f229da44a8387e8,main,spotex,paint3d,goatex,syncmvd,TEXGen,mvadapter,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,5
58_1d7b005b0cf241d9890739a549769c86,main,goatex,syncmvd,TEXGen,paint3d,spotex,mvadapter,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,6
27_0aa910f8ec974330a9a89a5c7cf4e3dd,vigilance,spotex,_corrupt_1,_corrupt_4,_corrupt_2,_corrupt_3,_corrupt_0,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,7
02_16ee83e509e745998f229da44a8387e8,main,spotex,syncmvd,paint3d,goatex,TEXGen,mvadapter,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,8
45_1a6d42ef69294498937aab039ececb00,main,TEXGen,goatex,paint3d,spotex,mvadapter,syncmvd,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,9
58_1d7b005b0cf241d9890739a549769c86,vigilance,spotex,_corrupt_1,_corrupt_2,_corrupt_3,_corrupt_0,_corrupt_4,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,10
02_16ee83e509e745998f229da44a8387e8,main,spotex,goatex,syncmvd,paint3d,mvadapter,TEXGen,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,11
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,spotex,goatex,paint3d,TEXGen,syncmvd,mvadapter,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,12
58_1d7b005b0cf241d9890739a549769c86,main,goatex,TEXGen,syncmvd,spotex,paint3d,mvadapter,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,13
54_120ac5f53bda4d1d9306a050a3b6e46b,main,paint3d,syncmvd,spotex,mvadapter,goatex,TEXGen,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,14
48_d53b232eab0048b48835c2caef28f44e,main,spotex,mvadapter,paint3d,syncmvd,TEXGen,goatex,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,15
01_d85c3093011d4e03a0df7a4049b13816,main,goatex,spotex,mvadapter,paint3d,TEXGen,syncmvd,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,16
06_ce195c7adddb44d2bf963c526756362a,main,spotex,goatex,mvadapter,TEXGen,syncmvd,paint3d,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,17
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,TEXGen,syncmvd,spotex,mvadapter,paint3d,goatex,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,18
02_16ee83e509e745998f229da44a8387e8,main,spotex,goatex,syncmvd,mvadapter,TEXGen,paint3d,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,19
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_0,_corrupt_2,_corrupt_1,_corrupt_3,_corrupt_4,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,20
35_02797d5feaac4ccabfdf8b357fa2a13a,main,spotex,syncmvd,mvadapter,paint3d,goatex,TEXGen,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,21
54_120ac5f53bda4d1d9306a050a3b6e46b,main,paint3d,mvadapter,spotex,goatex,syncmvd,TEXGen,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,22
35_02797d5feaac4ccabfdf8b357fa2a13a,main,spotex,TEXGen,paint3d,mvadapter,goatex,syncmvd,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,23
