method,mean_score,mean_rank,n_wins,n_last,pooled_score,pooled_low_ci,pooled_high_ci,pooled_rank
spotex,0.347492,1.666667,6,0,0.331831,0.306354,0.361143,1
goatex,0.176438,2.777778,2,1,0.165465,0.153436,0.177562,2
mvadapter,0.134393,3.555556,1,2,0.140375,0.129519,0.151525,3
syncmvd,0.134311,3.666667,0,0,0.137679,0.127259,0.147378,4
TEXGen,0.125326,4.000000,0,1,0.133312,0.123549,0.142267,5
paint3d,0.082039,5.333333,0,5,0.091338,0.082573,0.100402,6
